row,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
93.000,Vogue,0.00379,0.737,316813,0.88,27QvYgBk0CHOVHthWnkuWt,0.00351,6.000,0.417,-6.449,1.000,0.0433,115.998,,https://api.spotify.com/v1/tracks/27QvYgBk0CHOVHthWnkuWt,0.329
94.000,The Rhythm of the Night,0.000232,0.69,264280,0.805,0ofMkI3jzmGCElAOgOLeo3,0.739,5.000,0.095,-11.522,0.000,0.0336,127.808,,https://api.spotify.com/v1/tracks/0ofMkI3jzmGCElAOgOLeo3,0.799
95.000,Bitch,0.0112,0.617,252760,0.886,3i6qNxyVgIdUZTTi5m25EM,9.63E-05,9.000,0.0523,-5.953,1.000,0.055,96.328,,https://api.spotify.com/v1/tracks/3i6qNxyVgIdUZTTi5m25EM,0.629
96.000,Lemon Tree,0.643,0.663,191027,0.475,4fXGWiVhlOLdhwRDP6pIFG,0,1.000,0.122,-8.834,1.000,0.0417,143.175,,https://api.spotify.com/v1/tracks/4fXGWiVhlOLdhwRDP6pIFG,0.644
97.000,Vogue - Edit,0.0109,0.69,289560,0.817,5npMYgysWSKOIVXj2szeLn,0.00276,10.000,0.103,-10.137,0.000,0.0478,116.211,,https://api.spotify.com/v1/tracks/5npMYgysWSKOIVXj2szeLn,0.285
98.000,Tears In Heaven,0.842,0.705,276867,0.324,2lJOKQmXQ5yiRyCTE5FyDE,0.00386,9.000,0.201,-11.217,1.000,0.0246,79.051,,https://api.spotify.com/v1/tracks/2lJOKQmXQ5yiRyCTE5FyDE,0.494
99.000,Sweetest Thing - The Single Mix,0.0941,0.534,183160,0.605,4AOuWMwBYlZ96c07ye2w27,4.35E-05,0.000,0.198,-7.096,1.000,0.0352,142.24,,https://api.spotify.com/v1/tracks/4AOuWMwBYlZ96c07ye2w27,0.558
100.000,Perfect Duet (Ed Sheeran & Beyoncí©),0.779,0.587,259550,0.299,1bhUWB0zJMIKr9yVPrkEuI,0,8.000,0.123,-7.365,1.000,0.0263,94.992,,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI,0.356
101.000,Canäó»t Help Falling in Love,0.905,0.266,201933,0.0596,7uuEfUMuPeQ7RlSWa0cES2,7.07E-05,0.000,0.132,-18.515,1.000,0.0363,181.74,,https://api.spotify.com/v1/tracks/7uuEfUMuPeQ7RlSWa0cES2,0.143
102.000,Shallow,0.371,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0,7.000,0.231,-6.362,1.000,0.0308,95.799,,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,0.323
103.000,Shrike,0.464,0.387,300707,0.278,5uIYONgpUQ7t0v7D6CTMBt,0.00527,7.000,0.102,-8.454,0.000,0.0318,153.426,,https://api.spotify.com/v1/tracks/5uIYONgpUQ7t0v7D6CTMBt,0.0632
104.000,Ophelia,0.613,0.664,160097,0.573,3qhobDAfBcVoOWZP8Ck8R2,0.000363,5.000,0.0857,-6.519,1.000,0.0277,76.023,,https://api.spotify.com/v1/tracks/3qhobDAfBcVoOWZP8Ck8R2,0.566
105.000,Beyond,0.229,0.58,240600,0.687,5esPpmrM2AsyDVgOKzWQwU,0,6.000,0.109,-5.4,1.000,0.106,76.014,,https://api.spotify.com/v1/tracks/5esPpmrM2AsyDVgOKzWQwU,0.187
106.000,Latch - Acoustic,0.977,0.389,221050,0.294,44jGrgXzD1p1jCLTHrveg8,0.00393,8.000,0.107,-5.429,1.000,0.0277,88.636,,https://api.spotify.com/v1/tracks/44jGrgXzD1p1jCLTHrveg8,0.243
107.000,Big Jet Plane,0.239,0.763,239147,0.387,5Z1U0knfYnsfvZycgDeOiC,0.00747,10.000,0.13,-8.643,0.000,0.0278,109.957,,https://api.spotify.com/v1/tracks/5Z1U0knfYnsfvZycgDeOiC,0.273
108.000,When You Love Someone - Acoustic,0.803,0.711,210107,0.299,6668ZaUUXqZ25Tb0DMr2HO,0,7.000,0.116,-8.286,1.000,0.0394,125.068,,https://api.spotify.com/v1/tracks/6668ZaUUXqZ25Tb0DMr2HO,0.577
