track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,,,song_id,,,,,,
Fake Love,0.108,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0,9,0.196,-9.433,,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,,0.605,,,3/18/17,,343YBumqHu19cGoGARUTsd,,,,,,
Starboy,0.141,0.678,230453,0.588,7MXVkk9YMctZqd1Srtv4MB,6.35E-06,7,0.137,-7.015,,1,0.276,186.005,4,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,,0.486,,,11/25/16,,7MXVkk9YMctZqd1Srtv4MB,,,,,,
Bad Things (with Camila Cabello),0.214,0.697,239293,0.691,1PSBzsahR2AKwLJgx8ehBj,0,2,0.185,-4.757,,1,0.146,137.853,4,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,,0.305,,,5/12/17,,1PSBzsahR2AKwLJgx8ehBj,,,,,,
Million Reasons,0.437,0.665,205280,0.424,7dZ1Odmx9jWIweQSatnRqo,0,0,0.107,-7.838,,1,0.0444,129.911,4,https://api.spotify.com/v1/tracks/7dZ1Odmx9jWIweQSatnRqo,,0.134,,,10/21/16,,7dZ1Odmx9jWIweQSatnRqo,,,,,,
Water Under the Bridge,0.0189,0.596,240426,0.838,4vb4mFvYsr2h6enhjJsq9Y,1.54E-05,5,0.108,-6.52,,0,0.0704,94.982,4,https://api.spotify.com/v1/tracks/4vb4mFvYsr2h6enhjJsq9Y,,0.472,,,6/24/16,,4vb4mFvYsr2h6enhjJsq9Y,,,,,,
Black Beatles,0.142,0.794,291893,0.632,6fujklziTHa8uoM5OQSfIo,0,0,0.128,-6.163,,1,0.0649,145.926,4,https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo,,0.355,,,8/12/16,,6fujklziTHa8uoM5OQSfIo,,,,,,
Caroline,0.17,0.941,209640,0.335,5hTpBe8h35rJ67eAWHQsJx,0,5,0.262,-10.179,,0,0.505,120.041,4,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,,0.707,,,7/28/17,,5hTpBe8h35rJ67eAWHQsJx,,,,,,
Heathens,0.0841,0.732,195920,0.396,6i0V12jOa3mr6uu4WYhUBr,3.58E-05,4,0.105,-9.348,,0,0.0286,90.024,4,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,,0.548,,,6/16/16,,6i0V12jOa3mr6uu4WYhUBr,,,,,,
All Time Low,0.0508,0.584,217603,0.569,0SuLAslEMFZAXf0SwY7syi,0,0,0.0924,-4.259,,1,0.166,89.779,4,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,,0.501,,,6/10/16,,0SuLAslEMFZAXf0SwY7syi,,,,,,
Side To Side,0.0513,0.65,226160,0.736,1pKeFVVUOPjFsOABub0OaV,0,6,0.235,-5.84,,0,0.229,159.174,4,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,,0.612,,,5/20/16,,1pKeFVVUOPjFsOABub0OaV,,,,,,
Treat You Better,0.106,0.444,187973,0.819,3QGsuHI8jO1Rx4JWLUh9jd,0,10,0.107,-4.078,,0,0.341,82.695,4,https://api.spotify.com/v1/tracks/3QGsuHI8jO1Rx4JWLUh9jd,,0.747,,,4/20/17,,3QGsuHI8jO1Rx4JWLUh9jd,,,,,,
Broccoli,0.236,0.886,225205,0.525,0qy5D3OJre7SPJNMOL9I71,0,8,0.057,-7.39,,1,0.132,145.99,4,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,,0.708,,,4/6/16,,0qy5D3OJre7SPJNMOL9I71,,,,,,
This Town,0.72,0.678,232852,0.401,0qvzXomUDJVaUboy2wMfiS,0,6,0.118,-8.408,,0,0.0312,111.855,4,https://api.spotify.com/v1/tracks/0qvzXomUDJVaUboy2wMfiS,,0.194,,,10/20/17,,0qvzXomUDJVaUboy2wMfiS,,,,,,
Juju On That Beat (TZ Anthem),0.00381,0.807,144244,0.887,1lItf5ZXJc1by9SbPeljFd,0,1,0.391,-3.892,,1,0.275,160.517,4,https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,,0.78,,,9/30/16,,1lItf5ZXJc1by9SbPeljFd,,,,,,
Starving,0.378,0.729,181880,0.615,4Ce37cRWvM1vIGGynKcs22,0,4,0.105,-4.238,,1,0.0647,99.989,4,https://api.spotify.com/v1/tracks/4Ce37cRWvM1vIGGynKcs22,,0.508,,,7/22/16,,4Ce37cRWvM1vIGGynKcs22,,,,,,
