,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Hit 'Em Up - Single Version,4ENy0Hz7IsSf8lDz3to3FH,0.0405,0.921,312627,0.836,0.0,7,0.0802,-3.978,1,0.243,95.187,0.581,https://api.spotify.com/v1/tracks/4ENy0Hz7IsSf8lDz3to3FH
Keep Their Heads Ringin',1rylJ0VXvhOzLGNm401iaI,0.0338,0.671,310227,0.737,0.00344,0,0.0596,-5.131,1,0.108,90.519,0.197,https://api.spotify.com/v1/tracks/1rylJ0VXvhOzLGNm401iaI
Ruff Ryders' Anthem,5H0dVldtI6HJZnEXzigKfY,0.0636,0.879,214440,0.573,0.0,10,0.256,-8.113,0,0.305,91.037,0.73,https://api.spotify.com/v1/tracks/5H0dVldtI6HJZnEXzigKfY
Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version,4INDiWSKvqSKDEu7mh8HFz,0.0128,0.845,257400,0.884,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,0.904,https://api.spotify.com/v1/tracks/4INDiWSKvqSKDEu7mh8HFz
Jump Around,2oTDOIAdsxPTE7yAp4YOcv,0.0113,0.854,214947,0.71,8.72e-05,4,0.166,-6.32,0,0.0793,106.894,0.818,https://api.spotify.com/v1/tracks/2oTDOIAdsxPTE7yAp4YOcv
Doo Wop (That Thing),2bZfoRmADhlF5gMCSZ4pDS,0.0393,0.535,320267,0.505,0.0,2,0.0923,-8.926,0,0.245,99.935,0.495,https://api.spotify.com/v1/tracks/2bZfoRmADhlF5gMCSZ4pDS
Hail Mary,4akCwzFRS8Syu5uFy7L1sG,0.158,0.654,309800,0.637,1.28e-05,10,0.338,-6.915,0,0.293,81.947,0.364,https://api.spotify.com/v1/tracks/4akCwzFRS8Syu5uFy7L1sG
I'll Be Missing You (feat. Faith Evans & 112),1yy2DlSDtEt90d54rPDPXz,0.111,0.833,306560,0.619,2.13e-05,7,0.159,-5.595,1,0.0538,109.92,0.901,https://api.spotify.com/v1/tracks/1yy2DlSDtEt90d54rPDPXz
Still Not a Player (feat. Joe) - Radio Version,3GKL13lkM5nRc4zC1lIOrR,0.203,0.9,236800,0.619,0.00156,4,0.0647,-6.518,0,0.312,94.121,0.864,https://api.spotify.com/v1/tracks/3GKL13lkM5nRc4zC1lIOrR
Real Muthaphuckkin G's,4G19iP1Ltd4GLknCiS2k7y,0.0174,0.735,332627,0.797,0.0,11,0.62,-4.611,0,0.285,170.444,0.731,https://api.spotify.com/v1/tracks/4G19iP1Ltd4GLknCiS2k7y
Who Am I (What's My Name)?,5XhkV07Vou38wnrzwURUOC,0.000136,0.692,246320,0.833,1.98e-05,7,0.515,-3.974,1,0.0492,96.814,0.692,https://api.spotify.com/v1/tracks/5XhkV07Vou38wnrzwURUOC
Miami,5n276uEKrEFohrt42pP8Tf,0.0323,0.879,197560,0.538,8.6e-06,1,0.046,-6.144,1,0.112,108.155,0.896,https://api.spotify.com/v1/tracks/5n276uEKrEFohrt42pP8Tf
