,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
848,Forever And For Always - Pop Red Edit,0.179,0.483,243493,0.79,3IvywxLUIb30oVLH8DWfh6,0.0,6,0.165,-4.737,1,0.0371,85.992,4,https://api.spotify.com/v1/tracks/3IvywxLUIb30oVLH8DWfh6,0.565
849,Bring Me To Life,0.00895,0.316,235893,0.945,0COqiPhxzoWICwFCS4eZcp,1.85e-06,4,0.396,-3.1689999999999996,0,0.124,189.93099999999998,4,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,0.32
850,"Never Leave You - Uh Ooh, Uh Oooh! - DJ Kazzanova Reggaeton Mix",0.0347,0.8390000000000001,192426,0.8340000000000001,7z8aFQ2vr0fbdkuWBH3e6V,0.129,4,0.0837,-3.7430000000000003,0,0.0503,99.994,4,https://api.spotify.com/v1/tracks/7z8aFQ2vr0fbdkuWBH3e6V,0.778
851,Magic Stick,0.11699999999999999,0.8490000000000001,359973,0.499,0aULRU35N9kTj6O1xMULRR,4.970000000000001e-05,2,0.268,-7.872000000000001,1,0.271,92.98200000000001,4,https://api.spotify.com/v1/tracks/0aULRU35N9kTj6O1xMULRR,0.504
852,Get Busy,0.615,0.735,211666,0.8240000000000001,7C86DVl6REN8VPeGEMOf9q,0.0,10,0.158,-4.143,0,0.036000000000000004,100.20200000000001,4,https://api.spotify.com/v1/tracks/7C86DVl6REN8VPeGEMOf9q,0.726
853,Miss Independent,0.522,0.6729999999999999,232000,0.6829999999999999,34ceTg8ChN5HjrqiIYCn9Q,0.0,1,0.235,-5.693,1,0.115,171.86,4,https://api.spotify.com/v1/tracks/34ceTg8ChN5HjrqiIYCn9Q,0.713
854,Rock Wit U (Awww Baby),0.433,0.7120000000000001,209120,0.805,6pWzCKTrKrwbUPzY8RLCoP,0.0,4,0.179,-3.142,0,0.0739,94.973,4,https://api.spotify.com/v1/tracks/6pWzCKTrKrwbUPzY8RLCoP,0.851
855,When I'm Gone,0.0529,0.535,281133,0.73,42YNobZ4HN3tRVEA47wLT6,0.0,1,0.253,-5.574,1,0.355,74.89,4,https://api.spotify.com/v1/tracks/42YNobZ4HN3tRVEA47wLT6,0.723
856,21 Questions,0.38799999999999996,0.547,224426,0.807,41bIQPBE1lFN0mmw6Lmssz,9.109999999999999e-05,6,0.0436,-4.083,0,0.36,79.82300000000001,3,https://api.spotify.com/v1/tracks/41bIQPBE1lFN0mmw6Lmssz,0.919
857,Ignition - Remix,0.061,0.795,186066,0.523,5dNfHmqgr128gMY2tc5CeJ,0.0,1,0.0914,-7.165,1,0.0423,133.024,4,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ,0.855
858,I Know What You Want,0.0142,0.648,324306,0.759,0YImOCkIJ2PWhCXaURCZnY,0.0,6,0.648,-4.315,1,0.306,85.99600000000001,4,https://api.spotify.com/v1/tracks/0YImOCkIJ2PWhCXaURCZnY,0.518
859,Rock Your Body,0.20199999999999999,0.8909999999999999,267266,0.7140000000000001,1AWQoqb9bSvzTjaLralEkT,0.000234,4,0.0521,-6.055,0,0.14,100.97200000000001,4,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,0.818
860,Can't Let You Go (feat. Mike Shorey & Lil' Mo),0.231,0.6459999999999999,223973,0.6,6lrRIfQDcikJ5y5DtyZPuJ,0.0,9,0.0794,-6.569,1,0.45799999999999996,192.082,4,https://api.spotify.com/v1/tracks/6lrRIfQDcikJ5y5DtyZPuJ,0.8109999999999999
861,No Letting Go,0.0479,0.495,202013,0.8190000000000001,5dWfl2PBpKHpBVdz95wxK1,0.000215,5,0.177,-5.656000000000001,0,0.0444,100.213,4,https://api.spotify.com/v1/tracks/5dWfl2PBpKHpBVdz95wxK1,0.318
862,In Da Club,0.28300000000000003,0.865,193466,0.73,4RY96Asd9IefaL3X4LOLZ8,0.0,6,0.0753,-2.813,0,0.373,90.096,4,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,0.8079999999999999
863,How You Gonna Act Like That,0.107,0.733,294693,0.521,3OUApyz3jDB3syGUNGqB1d,0.0,3,0.0692,-3.657,0,0.0457,112.913,4,https://api.spotify.com/v1/tracks/3OUApyz3jDB3syGUNGqB1d,0.525
864,Your Body Is a Wonderland,0.0206,0.647,249626,0.7290000000000001,7vFv0yFGMJW3qVXbAd9BK9,0.0489,5,0.134,-6.251,1,0.0236,94.01,4,https://api.spotify.com/v1/tracks/7vFv0yFGMJW3qVXbAd9BK9,0.687
865,"Bump, Bump, Bump",0.0956,0.833,282533,0.6809999999999999,74jMwg2zsFMICzW3Wems6h,0.0,1,0.0414,-6.028,0,0.215,95.48,4,https://api.spotify.com/v1/tracks/74jMwg2zsFMICzW3Wems6h,0.887
866,Sick Of Being Lonely,0.00202,0.706,229160,0.909,0Nv2fnDgOR1ld5SN670Jst,2.1600000000000003e-05,8,0.275,-4.984,1,0.11199999999999999,173.81900000000002,4,https://api.spotify.com/v1/tracks/0Nv2fnDgOR1ld5SN670Jst,0.8079999999999999
867,Don't Mess With My Man,0.114,0.879,213226,0.73,39YovPslPCXbFYhlYjsZ2Y,0.0,11,0.24100000000000002,-4.369,0,0.16399999999999998,99.925,4,https://api.spotify.com/v1/tracks/39YovPslPCXbFYhlYjsZ2Y,0.885
868,"Wanksta - From ""8 Mile"" Soundtrack",0.0224,0.81,219400,0.868,6rpNe6gSkmiYW6BfSFATi5,0.0,1,0.145,-3.5210000000000004,1,0.156,81.018,4,https://api.spotify.com/v1/tracks/6rpNe6gSkmiYW6BfSFATi5,0.884
869,19 Somethin' - Greatest Hits Version,0.184,0.588,200466,0.813,0ElpjZyX8YBiXuYcDC1Ci9,0.0,4,0.0783,-5.042,1,0.076,90.072,4,https://api.spotify.com/v1/tracks/0ElpjZyX8YBiXuYcDC1Ci9,0.818
870,Air Force Ones,0.087,0.777,304000,0.474,7kAFSrTIOiVZ0gnHBuAH3l,0.0,4,0.08900000000000001,-10.211,0,0.316,164.123,4,https://api.spotify.com/v1/tracks/7kAFSrTIOiVZ0gnHBuAH3l,0.63
871,Underneath It All,0.247,0.73,302720,0.71,4Ctmbw1hJks6cPrr6x8FbC,1.49e-06,4,0.39,-4.978,1,0.0814,138.136,4,https://api.spotify.com/v1/tracks/4Ctmbw1hJks6cPrr6x8FbC,0.875
872,She Hates Me,0.00875,0.575,216640,0.746,1uwTmwkjv7wFImfzegvdI6,0.0,4,0.768,-5.393,1,0.0326,109.789,4,https://api.spotify.com/v1/tracks/1uwTmwkjv7wFImfzegvdI6,0.607
873,Lose Yourself - Soundtrack Version,0.00704,0.698,326466,0.732,5Z01UMMf7V1o0MzF86s6WJ,0.000647,2,0.359,-4.522,1,0.266,171.43099999999998,4,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,0.0689
874,Dontchange - Album Version (Edited),0.19,0.564,308560,0.555,3DkaXDmC0qaFNAxgLMuwX4,0.0,4,0.087,-6.611000000000001,1,0.0345,101.884,4,https://api.spotify.com/v1/tracks/3DkaXDmC0qaFNAxgLMuwX4,0.196
875,Jenny from the Block - Track Masters Remix,0.008329999999999999,0.8440000000000001,187840,0.754,4ZOyH6KjomjlqCz3oFqglr,3.42e-06,6,0.0575,-5.46,1,0.207,100.00200000000001,4,https://api.spotify.com/v1/tracks/4ZOyH6KjomjlqCz3oFqglr,0.961
876,She'll Leave You With A Smile - 2001 Version,0.602,0.628,178760,0.5660000000000001,0sKXWw2C1m3RMl4AX6JLlF,0.00021600000000000002,4,0.20199999999999999,-7.23,1,0.0224,97.99799999999999,4,https://api.spotify.com/v1/tracks/0sKXWw2C1m3RMl4AX6JLlF,0.501
